,pdf_name,date1,time1,date2,time2,mr_address,en_address,Latitude,Longitude,Google Maps Address
0,1.pdf,31/12/2024,23:00,01/01/2025,00:30," लिलावती sities जवळ, , रिक्‍्लेमेशन रोड, , बांद्रा पश्‍चिम मुंबई 50,   ","Near Lilavati sities, , Reclamation Road, , Bandra West Mumbai 50,",19.0510043,72.8293225,"A-791, Bandra Reclamation Rd, General Arunkumar Vaidya Nagar, Bandra West, Mumbai, Maharashtra 400050, India"
1,2.pdf,30/12/2024,11:00,30/12/2024,20:00," रिझवी गार्डनजवळ ट्रान्झीस्ट , कम्प, लिलावती हाँस्पीटन जवळ , वांद्रे प मुबंई50,   ","Near Rizvi Garden Transit, Comp., Near Lilavati Hospital, Bandra P Mumbai 50,",19.0566661,72.8377008,"Bandra Talao, Bandra West, Mumbai, Maharashtra 400050"
2,3.pdf,22/01/2025,17:50,22/01/2025,17:50," 51 नं बस,, वांद्रे तलाव , , वांद्रे पश्‍चिम मुंबई 400050 ,   ","Bus No. 51, Bandra Lake, Bandra West Mumbai 400050",19.0759376,72.8803661,"jai shankar chowk, Hallow Pull Rd, Halav Pool, Hallow Pul, Kurla, Mumbai, Maharashtra 400070, India"
3,4.pdf,08/07/2023,00:00,17/06/2025,00:00," पुजारी चाळ, जयशंकर चौक, हालाव पूत्र, कुर्ला प मुंबई,-400070   ","Pujari Chal, Jaishankar Chowk, Halav Putra, Kurla P Mumbai,-400070",19.0256055,72.85209329999999,"Ground floor, Snow Point, Vinod Villa, BA Khimji Rd, Matunga East, Mumbai, Maharashtra 400019, India"
4,5.pdf,08/07/2025,12:00,08/07/2025,12:05," हाँटेल स्नो पॉईंट वेलिंगर , काँलेजच्या बाजुची गल्ली , माटुंगा इस्ट मुंबई,  ","Hotel Snow Point Wellinger, College Lane, Matunga East Mumbai,",19.03142,72.8534468,"Number 4, Hubtown Harmony, Bhaudaji Rd, Matunga East, Mumbai, Maharashtra 400019, India"
5,6.pdf,09/07/2025,15:10,09/07/2025,15:45," रोड क्र 04, भाउ दाजी रोड, हबटाउन हारमनी बिल्डीग , समोरील रस्ता माटुंगा मुंबई, ","Road No. 04, Bhau Daji Road, Hubtown Harmony Building, Opposite Road Matunga Mumbai,",19.0148695,72.863143,"Wadala, Mumbai, Maharashtra, India"
6,7.pdf,09/07/2025,19:00,09/07/2025,22:00," Stet बॉस्को स्कुल बाहेर , वडाळा मुंबई,   ","Outside Stet Bosco School, Wadala Mumbai,",19.0207956,72.8596444,"Sewree Estate, 337, Major R Parameswaran Rd, Wadala, Mumbai, Maharashtra 400031, India"
7,8.pdf,10/07/2025,12:30,10/07/2025,13:30," मेजर आर WANT मार्ग, एस आय डब्ल्यु एस शाळा, वडाळा,   ","MAJOR R WANT MARG, SIWS SCHOOL, WADALA,",19.0153559,72.84597149999999,"2R8W+49X, Opposite To dadar Pune Asiad Stand, Dadar East, Dadar, Mumbai, Maharashtra 400014, India"
8,9.pdf,11/07/2025,04:00,11/07/2025,04:30," प्रथमेश मेन्स वेअर दुकानासमोर, पोस्ट ऑफीस बस स्टाँपवर, दादर पुर्व, मुंबई,   ","Opposite Prathamesh Men's Wear Shop, Post Office Bus Stand, Dadar East, Mumbai,",19.0146363,72.8219228,"OPEN AIR THEATRE, Adarsh Nagar Rd, MIG Colony, Adarsh Nagar, Prabhadevi, Mumbai, Maharashtra 400030, India"
9,10.pdf,12/01/2025,13:35,12/01/2025,13:40," आदर्शनगर,, वरळी स्पोर्ट क्लबच्या पाठीमागे, वरळी,मुंबई 400030, ","Adarshnagar,,Behind Worli Sports Club,Worli,Mumbai 400030,",18.9581934,72.8320729,"Mumbai, Maharashtra, India"
10,11.pdf,11/07/2025,11:50,11/07/2025,12:00," शेठ तेजूकाया मार्ग, Ales ईस्ट मुंबई,   ","Sheth Tejukaya Marg, Ales East Mumbai,",19.0218765,72.8567405,"V.J.T.I. College, Mumbai, Maharashtra, India"
11,12.pdf,11/07/2025,07:40,11/07/2025,07:55," नाथालाल पारेख मार्ग, व्ही जे टी आय काँलेज,, बस स्टाप माटुंगा, मुंबई,  ","Nathalal Parekh Marg, VJTI College, Bus Stop Matunga, Mumbai,",19.0247332,72.8583044,"Nathalal Parekh Marg, near Khalsa College, Matunga East, Mumbai, Maharashtra 400019, India"
